Nombre del sistema/proyecto,Upework
Requisito a probar,Agregar proyecto con caracteres especiales en el nombre
Autor del caso de prueba,Gerardo Rodriguez
Fecha de creacion,23-jul-25
Ejecutor del caso de prueba,n/a
Fecha de ejecucion,n/a

Objetivo,Verificar que el sistema maneja correctamente nombres de proyecto con caracteres especiales.
Condiciones de ejecucion,El estudiante debe estar registrado y autenticado en el sistema.
Entrada,Datos de proyecto con caracteres especiales en el nombre.

No.,Accion,Resultado esperado,Resultado obtenido
1,El estudiante accede a la sección de proyectos en su perfil.,Se muestra el formulario para agregar proyecto,
2,El estudiante ingresa un nombre con caracteres especiales y pulsa guardar.,El sistema valida el nombre y muestra un mensaje de éxito o error según corresponda,

Comentario de evaluacion,El sistema valida correctamente los caracteres permitidos en el nombre del proyecto.
Aprobo,____
Fallo,____
Acciones correctivas,
Fecha de aprobacion del caso de prueba,
